no-deprecated-destroyed-lifecycle	vue
no-deprecated-functions	jest
no-did-mount-set-state	react
no-direct-mutation-state	react
no-disabled-tests	jest
no-distracting-elements	jsx_a11y
no-div-regex	eslint
no-document-cookie	unicorn
no-document-import-in-page	nextjs
no-done-callback	jest
no-dupe-class-members	eslint
no-dupe-else-if	eslint
no-dupe-keys	eslint
no-duplicate-case	eslint
no-duplicate-enum-values	typescript
no-duplicate-head	nextjs
no-duplicate-hooks	jest
no-duplicate-imports	eslint
no-duplicate-type-constituents	typescript
no-duplicates	import
no-dynamic-delete	typescript
no-dynamic-require	import
no-else-return	eslint
no-empty	eslint
no-empty-character-class	eslint
no-empty-file	unicorn
no-empty-function	eslint
no-empty-interface	typescript
no-empty-named-blocks	import
no-empty-object-type	typescript
no-empty-pattern	eslint
no-empty-static-block	eslint
no-eq-null	eslint
no-eval	eslint
no-ex-assign	eslint
no-explicit-any	typescript
no-export	jest
no-export-in-script-setup	vue
no-exports-assign	node
no-extend-native	eslint
no-extra-bind	eslint
no-extra-boolean-cast	eslint
no-extra-label	eslint
no-extra-non-null-assertion	typescript
no-extraneous-class	typescript
no-fallthrough	eslint
no-find-dom-node	react
no-floating-promises	typescript
no-focused-tests	jest
no-for-in-array	typescript
no-func-assign	eslint
no-global-assign	eslint
no-head-element	nextjs
no-head-import-in-document	nextjs
no-hex-escape	unicorn
no-hooks	jest
no-html-link-for-pages	nextjs
no-identical-title	jest
no-img-element	nextjs
no-immediate-mutation	unicorn
no-implicit-coercion	eslint
no-implied-eval	typescript
no-import-assign	eslint
no-import-compiler-macros	vue
no-import-node-test	vitest
no-import-type-side-effects	typescript
no-importing-vitest-globals	vitest
no-inferrable-types	typescript
no-inline-comments	eslint
no-inner-declarations	eslint
no-instanceof-array	unicorn
no-instanceof-builtins	unicorn
no-interpolation-in-snapshots	jest
no-invalid-fetch-options	unicorn
no-invalid-regexp	eslint
no-invalid-remove-event-listener	unicorn
no-invalid-void-type	typescript
no-irregular-whitespace	eslint
no-is-mounted	react
no-iterator	eslint
no-jasmine-globals	jest
no-label-var	eslint
no-labels	eslint
no-large-snapshots	jest
no-length-as-slice-end	unicorn
no-lifecycle-after-await	vue
no-lone-blocks	eslint
no-lonely-if	eslint
no-lonely-if	unicorn
no-loop-func	eslint
no-loss-of-precision	eslint
no-magic-array-flat-depth	unicorn
no-magic-numbers	eslint
no-map-spread	oxc
no-meaningless-void-operator	typescript
no-misleading-character-class	eslint
no-misused-new	typescript
no-misused-promises	typescript
no-misused-spread	typescript
no-mixed-enums	typescript
no-mocks-import	jest
no-multi-assign	eslint
no-multi-comp	react
no-multi-str	eslint
no-multiple-resolved	promise
no-multiple-slot-args	vue
no-mutable-exports	import
no-named-as-default	import
no-named-as-default-member	import
no-named-default	import
no-named-export	import
no-namespace	import
no-namespace	react
no-namespace	typescript
no-negated-condition	eslint
no-negation-in-equality-check	unicorn
no-nested-ternary	eslint
no-nested-ternary	unicorn
no-nesting	promise
no-new	eslint
no-new-array	unicorn
no-new-buffer	unicorn
no-new-func	eslint
no-new-native-nonconstructor	eslint
no-new-require	node
no-new-statics	promise
no-new-wrappers	eslint
no-nodejs-modules	import
