rule	group
noRedundantUseStrict	suspicious
noRenderReturnValue	correctness
noRestrictedDependencies	nursery
noRestrictedElements	correctness
noRestrictedGlobals	style
noRestrictedImports	style
noRestrictedTypes	style
noReturnAssign	suspicious
noRootType	style
noScriptUrl	security
noSecrets	security
noSelfAssign	correctness
noSelfCompare	suspicious
noSetterReturn	correctness
noShadow	suspicious
noShadowRestrictedNames	suspicious
noShorthandPropertyOverrides	suspicious
noShoutyConstants	style
noSkippedTests	suspicious
noSolidDestructuredProps	correctness
noSparseArray	suspicious
noStaticElementInteractions	a11y
noStaticOnlyClass	complexity
noStringCaseMismatch	correctness
noSubstr	style
noSuspiciousSemicolonInJsx	suspicious
noSvelteLegacyConst	nursery
noSvelteUnnecessaryStateWrap	nursery
noSvgWithoutTitle	a11y
noSwitchDeclarations	correctness
noSyncScripts	performance
noTailwindArbitraryValue	nursery
noTemplateCurlyInString	suspicious
noTernary	style
noThenProperty	suspicious
noThisInStatic	complexity
noTopLevelLiterals	nursery
noTsIgnore	suspicious
noUnassignedVariables	suspicious
noUndeclaredClasses	nursery
noUndeclaredDependencies	correctness
noUndeclaredEnvVars	suspicious
noUndeclaredVariables	correctness
noUnknownAtRules	suspicious
noUnknownAttribute	suspicious
noUnknownFunction	correctness
noUnknownMediaFeatureName	correctness
noUnknownProperty	correctness
noUnknownPseudoClass	correctness
noUnknownPseudoElement	correctness
noUnknownTypeSelector	correctness
noUnknownUnit	correctness
noUnmatchableAnbSelector	correctness
noUnnecessaryConditions	suspicious
noUnnecessaryTemplateExpression	nursery
noUnreachable	correctness
noUnreachableSuper	correctness
noUnresolvedImports	correctness
noUnsafeDeclarationMerging	suspicious
noUnsafeFinally	correctness
noUnsafeNegation	suspicious
noUnsafeOptionalChaining	correctness
noUnsafePlusOperands	nursery
noUnsafeTypeAssertion	nursery
noUntrustedLicenses	nursery
noUnusedClasses	nursery
noUnusedExpressions	suspicious
noUnusedFunctionParameters	correctness
noUnusedImports	correctness
noUnusedInstantiation	correctness
noUnusedLabels	correctness
noUnusedPrivateClassMembers	correctness
noUnusedTemplateLiteral	style
noUnusedVariables	correctness
noUnwantedPolyfillio	performance
noUselessCatch	complexity
noUselessCatchBinding	complexity
noUselessConstructor	complexity
noUselessContinue	complexity
noUselessElse	style
noUselessEmptyExport	complexity
noUselessEscapeInRegex	complexity
noUselessEscapeInString	suspicious
noUselessFragments	complexity
noUselessLabel	complexity
noUselessLoneBlockStatements	complexity
noUselessRegexBackrefs	suspicious
noUselessRename	complexity
noUselessReturn	complexity
noUselessStringConcat	complexity
noUselessStringRaw	complexity
noUselessSwitchCase	complexity
noUselessTernary	complexity
noUselessThisAlias	complexity
noUselessTypeConstraint	complexity
noUselessTypeConversion	nursery
noUselessUndefined	complexity
noUselessUndefinedInitialization	complexity
noValueAtRule	style
noVar	suspicious
noVoid	complexity
noVoidElementsWithChildren	correctness
noVoidTypeReturn	correctness
noVueArrowFuncInWatch	suspicious
noVueDataObjectDeclaration	correctness
noVueDuplicateKeys	correctness
noVueImportCompilerMacros	nursery
noVueOptionsApi	style
noVueRefAsOperand	nursery
noVueReservedKeys	correctness
noVueReservedProps	correctness
noVueSetupPropsReactivityLoss	correctness
noVueVIfWithVFor	correctness
noVueVOnNumberValues	nursery
noWith	suspicious
noYodaExpression	style
useAdjacentOverloadSignatures	suspicious
useAltText	a11y
useAnchorContent	a11y
useAriaActivedescendantWithTabindex	a11y
useAriaPropsForRole	a11y
useAriaPropsSupportedByRole	a11y
useArrayFind	complexity
useArrayLiterals	style
useArraySome	nursery
useArraySortCompare	suspicious
useArrowFunction	complexity
useAsConstAssertion	style
useAstroClientOnlyDirectiveValue	nursery
useAtIndex	style
useAwait	suspicious
useAwaitThenable	nursery
useBaseline	nursery
useBiomeIgnoreFolder	suspicious
useBlockStatements	style
useButtonType	a11y
useCollapsedElseIf	style
useCollapsedIf	style
useComponentExportOnlyModules	style
useConsistentArrayType	style
useConsistentArrowReturn	style
useConsistentBuiltinInstantiation	style
useConsistentCurlyBraces	style
useConsistentEnumValueType	style
useConsistentGraphqlDescriptions	style
useConsistentMemberAccessibility	style
useConsistentMethodSignatures	style
useConsistentObjectDefinitions	style
useConsistentTestIt	nursery
useConsistentTypeDefinitions	style
useConst	style
useControlLabel	nursery
useDateNow	complexity
useDefaultParameterLast	style
useDefaultSwitchClause	style
useDefaultSwitchClauseLast	suspicious
useDeprecatedDate	suspicious
useDeprecatedReason	style
useDestructuring	style
useDisposables	nursery
useDomNodeTextContent	nursery
useDomQuerySelector	nursery
useEnumInitializers	style
useErrorCause	style
useErrorMessage	suspicious
useExhaustiveDependencies	correctness
useExhaustiveSwitchCases	nursery
useExpect	nursery
useExplicitLengthCheck	style
useExplicitReturnType	nursery
useExplicitType	nursery
useExponentiationOperator	style
useExportType	style
useExportsLast	style
useFilenamingConvention	style
useFlatMap	complexity
useFocusableInteractive	a11y
useForOf	style
useFragmentSyntax	style
useGenericFontNames	a11y
useGetterReturn	suspicious
useGlobalThis	style
useGoogleFontDisplay	suspicious
useGoogleFontPreconnect	performance
useGraphqlNamedOperations	correctness
useGraphqlNamingConvention	style
useGroupedAccessorPairs	style
useGuardForIn	suspicious
useHeadingContent	a11y
useHookAtTopLevel	correctness
useHtmlLang	a11y
useIframeSandbox	nursery
useIframeTitle	a11y
useImageSize	correctness
useImportExtensions	correctness
useImportType	style
useImportsFirst	nursery
useIncludes	nursery
useIndexOf	complexity
useInlineScriptId	correctness
useInputName	style
useIsArray	suspicious
useIsNan	correctness
useIterableCallbackReturn	suspicious
useJsonImportAttributes	correctness
useJsxKeyInIterable	correctness
useKeyWithClickEvents	a11y
useKeyWithMouseEvents	a11y
useLiteralEnumMembers	style
useLiteralKeys	complexity
useLoneAnonymousOperation	correctness
useLoneExecutableDefinition	style
useMathMinMax	nursery
useMaxParams	complexity
useMediaCaption	a11y
useNamedCaptureGroup	nursery
useNamedLayer	nursery
useNamespaceKeyword	suspicious
useNamingConvention	style
useNodeAssertStrict	style
useNodejsImportProtocol	style
useNullishCoalescing	nursery
useNumberNamespace	style
useNumberToFixedDigitsArgument	suspicious
useNumericLiterals	complexity
useNumericSeparators	style
useObjectSpread	style
useOptionalChain	complexity
useParseIntRadix	correctness
usePlaywrightValidDescribeCallback	nursery
useQwikClasslist	correctness
useQwikLoaderLocation	nursery
useQwikMethodUsage	correctness
useQwikValidLexicalScope	correctness
useReactAsyncServerFunction	nursery
useReactCompiler	nursery
useReactFunctionComponentDefinition	nursery
useReactFunctionComponents	style
useReactNativePlatformComponents	nursery
useReadonlyClassProperties	style
useReduceTypeParameter	nursery
useRegexLiterals	complexity
useRegexpExec	nursery
useRegexpTest	nursery
useRequiredScripts	suspicious
useScopedStyles	nursery
useSelfClosingElements	style
useSemanticElements	a11y
useShorthandAssign	style
useShorthandFunctionType	style
useSimpleNumberKeys	complexity
useSimplifiedLogicExpression	complexity
useSingleJsDocAsterisk	correctness
useSingleVarDeclarator	style
useSolidForComponent	performance
useSortedClasses	nursery
useSpreadOverApply	style
useStaticResponseMethods	suspicious
useStrictMode	suspicious
useStringStartsEndsWith	nursery
useSvelteRequireEachKey	nursery
useSymbolDescription	style
useTailwindShorthandClasses	nursery
useTemplate	style
useTestHooksInOrder	nursery
useTestHooksOnTop	nursery
useThisInClassMethods	nursery
useThrowNewError	style
useThrowOnlyError	style
useTopLevelRegex	performance
useTrimStartEnd	style
useUnicodeRegex	nursery
useUnifiedTypeSignatures	style
useUniqueElementIds	correctness
useValidAnchor	a11y
useValidAriaProps	a11y
useValidAriaRole	a11y
useValidAriaValues	a11y
useValidAutocomplete	a11y
useValidForDirection	correctness
useValidLang	a11y
useValidTypeof	correctness
useVarsOnTop	nursery
useVueConsistentDefinePropsDeclaration	nursery
useVueConsistentVBindStyle	style
useVueConsistentVOnStyle	style
useVueDefineMacrosOrder	style
useVueHyphenatedAttributes	style
useVueMultiWordComponentNames	style
useVueNextTickPromise	nursery
useVueVForKey	correctness
useVueValidTemplateRoot	correctness
useVueValidVBind	correctness
useVueValidVCloak	correctness
useVueValidVElse	correctness
useVueValidVElseIf	correctness
useVueValidVFor	nursery
useVueValidVHtml	correctness
useVueValidVIf	correctness
useVueValidVOn	correctness
useVueValidVOnce	correctness
useVueValidVPre	correctness
useVueValidVText	correctness
useVueVapor	performance
useWhile	complexity
useYield	correctness
